[01:27:06] Marcell_O_Neill sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-1.3) | E/P: 143.3/0.0 (S: 143.3/0.0) | Tav: 0.8
[01:27:06] Marcell_O_Neill sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-2.3) | E/P: 142.0/0.0 (S: 142.0/0.0) | Tav: 0.8
[01:27:06] Shura_Sharma sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-2.6) | E/P: 54.3/91.0 (S: 54.3/91.0) | Tav: 0.6
[01:27:07] Shura_Sharma sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 54.3/71.0 (S: 54.3/71.0) | Tav: 1.7
[01:27:07] Shura_Sharma sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 54.3/51.0 (S: 54.3/51.0) | Tav: 1.7
[01:27:08] Marcell_O_Neill sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-1.3) | E/P: 139.7/0.0 (S: 139.7/0.0) | Tav: 1.8
[01:27:09] Marcell_O_Neill sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-3.9) | E/P: 138.4/0.0 (S: 138.4/0.0) | Tav: 1.1
[01:27:09] Marcell_O_Neill sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-1.3) | E/P: 134.4/0.0 (S: 134.4/0.0) | Tav: 1.7
[01:27:10] Marcell_O_Neill sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-2.3) | E/P: 133.1/0.0 (S: 133.1/0.0) | Tav: 1.5
[01:27:10] Marcell_O_Neill sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-3.9) | E/P: 130.8/0.0 (S: 130.8/0.0) | Tav: 1.1
[01:27:11] Marcell_O_Neill sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-1.3) | E/P: 126.8/0.0 (S: 126.8/0.0) | Tav: 1.7
[01:27:11] Marcell_O_Neill sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-2.3) | E/P: 125.5/0.0 (S: 125.5/0.0) | Tav: 1.5
[01:27:13] Marcell_O_Neill sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-1.3) | E/P: 123.2/0.0 (S: 123.2/0.0) | Tav: 0.7
[01:27:13] Marcell_O_Neill sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-2.3) | E/P: 121.9/0.0 (S: 121.9/0.0) | Tav: 0.6
[01:27:14] Marcell_O_Neill sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-3.9) | E/P: 119.6/0.0 (S: 119.6/0.0) | Tav: 0.6
[01:27:14] Marcell_O_Neill sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-1.3) | E/P: 115.6/0.0 (S: 115.6/0.0) | Tav: 0.6
[01:27:15] Marcell_O_Neill sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-2.3) | E/P: 114.3/0.0 (S: 114.3/0.0) | Tav: 0.6
[01:27:15] Marcell_O_Neill sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-3.9) | E/P: 112.0/0.0 (S: 112.0/0.0) | Tav: 0.6
[01:27:17] Shura_Sharma sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-2.6) | E/P: 54.3/31.0 (S: 54.3/31.0) | Tav: 0.9
[01:27:20] Shura_Sharma sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 54.3/11.0 (S: 54.3/11.0) | Tav: 7.0
[01:27:21] Shura_Sharma sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 45.4/0.0 (S: 45.4/0.0) | Tav: 7.9
[01:27:21] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/20.0 (S: 150.0/20.0) | Tav: 2.8
[01:27:21] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.7
[01:27:22] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 1.7
[01:27:22] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 2.0
[01:27:22] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 2.2
[01:27:22] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 70.0/0.0 (S: 70.0/0.0) | Tav: 2.4
