[13:45:13] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.0
[13:45:13] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[13:45:13] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:45:13] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:45:14] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:45:14] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[13:45:15] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:45:16] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:45:16] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:45:17] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:45:17] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
[13:45:18] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:45:19] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:45:21] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[13:45:22] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[13:45:24] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:45:25] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
